OID,VEG_POINT_SOURCE,AUTO_ID,CIRCUITNAME,UNDERBUILD,UNIQUE_SEGMENT_ID,VP_STATUS,WORK_VERIFICATION_STATUS,PI_COMPANY,SPECIES,RWD_EXC,DEAD_DYING,DIAMETER,HEIGHT,TAT_RESULT,TREE_MATRIX_SCORE,IMPACT_MATRIX_SCORE,PRESCRIP,WOOD_MAN,TRAFFIC,ENVIRONMENTAL_CONCERN,PI_COMMENTS,TW_COMPANY,TW_SUB,TW_FOREMAN_ISN,TW_ACT_WORK,TW_WORK_DATE,TW_COMMENTS,TW_BILLING_TYPE,TW_READY_TO_INVOICE,TW_INVOICING_STATUS,WM_COMPANY,WM_SUB,WM_DATE,WM_COMMENTS,EVM_LAST_EDITOR,EVM_LAST_EDITED,REGION,DIVISION,PARCEL_NAME,SITE_ADDRESS,PROPERTY_CITY,Creator,Created,Editor,Edited,GlobalID,UNIQUE_PARCEL_ID,EVM_SYNC_ID
-1,PI,VP_AW115-K04_1127922_2019,BRUNSWICK 1105,No,CIP_AW115-K04_384199,In-Progress,,JEF_Jefferson Resources,Ponderosa Pine,No,No,28,90,,3,4,R3B_Rmv 3-B,Cut and Leave,No,,60 ft south of pole sucker limb and decay in butt log with gall rust in limbs. Slight flagging,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut all wood into 20” rounds. Chip and pile debris. ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698517,13929 HYDRAULIC RIDGE CLOSE,NEVADA CITY,cwongj_awrr,12/19/2019 20:11:49,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818344,d172e5ef-1293-4db7-8056-4948991100c4
-1,PI,VP_AW115-K04_1132777_2019,BRUNSWICK 1105,No,CIP_AW115-K04_389012,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,23,55,,4,4,F2B_FP-Rmv2 B,Cut and Leave,No,,.6 span between pole 4E and end pole. 15 feet west of lines. Overhang. Trim would remove more than 1/3 canopy. // Edited by jhuntm- changed to a removal. PI had wrong removal prescription.,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut hardwood into 16” lengths and remove all slash debris.,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698513,14128 HYDRAULIC RIDGE CLOSE,NEVADA CITY,psommj_awrr,12/20/2019 17:34:49,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818340,f9942e00-4660-42f2-860d-d72e1a7c78d0
-1,PI,VP_AW115-K04_1132779_2019,BRUNSWICK 1105,No,CIP_AW115-K04_389012,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,18,60,,4,4,F2B_FP-Rmv2 B,Cut and Leave,No,,.8 span between pole 4E and end pole. 25 feet west of lines. Decay at base of tree. ,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut hardwood into firewood lengths and remove all slash debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698513,14128 HYDRAULIC RIDGE CLOSE,NEVADA CITY,psommj_awrr,12/20/2019 17:45:27,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818340,24dd6b24-c7e9-4b45-b822-f789f2734bc2
-1,PI,VP_AW115-K04_1132781_2019,BRUNSWICK 1105,No,CIP_AW115-K04_389012,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,21,68,,5,4,F2B_FP-Rmv2 B,Cut and Leave,No,,.8 span between pole 4E and end pole. 30 feet west of lines. Large wounds on back side of tree and butt rot.,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut hardwood into firewood lengths and remove all slash debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698513,14128 HYDRAULIC RIDGE CLOSE,NEVADA CITY,psommj_awrr,12/20/2019 17:52:36,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818340,962485a0-02b6-4c67-b1c7-033d2411978c
-1,PI,VP_AW115-K04_1134583_2019,BRUNSWICK 1105,No,CIP_AW115-K04_383106,In-Progress,,JEF_Jefferson Resources,Ponderosa Pine,No,No,20,38,,3,4,F2A_FP-Rmv2 A,Cut and Leave,No,,"20” PP, 35’ E of lines,0.4 span between P 4A-4B, previously topped or broken top 20’ up",AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut all wood into 20” rounds. Chip and pile debris. ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698516,14015 HYDRAULIC RIDGE CLOSE,NEVADA CITY,efagaj_awrr,12/20/2019 17:48:46,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818343,de91ef1e-b42a-4457-b015-37623d311e47
-1,PI,VP_AW115-K04_1134584_2019,BRUNSWICK 1105,No,CIP_AW115-K04_383106,In-Progress,,JEF_Jefferson Resources,Ponderosa Pine,No,No,29,95,,3,4,F3B_FP-Rmv3 B,Cut and Leave,No,,"29” PP, 0.5 span between P4A-4B, 38’ E, codominant ",AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut all wood into 20” rounds. Chip and pile debris. ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698516,14015 HYDRAULIC RIDGE CLOSE,NEVADA CITY,efagaj_awrr,12/20/2019 17:52:27,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818343,829e9891-87be-4eee-8495-a343202dafc9
-1,PI,VP_AW115-K04_1134591_2019,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,19,79,Do Not ABATE,3,4,Trim,Haul offsite,No,None Observed,"0.8 span between Pole 4D-4E, 35 ft East of the line. Trim few branches back to keep 4 foot of overhang compliance. Lean towards lines, but no base defects. ",AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut all wood into into 16 inch firewood rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698514,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,efagaj_awrr,12/20/2019 19:13:36,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,192b4e40-f059-4bc3-afcf-4c699c225a3a
-1,PI,VP_AW115-K04_1134593_2019,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,18,81,,4,4,F2B_FP-Rmv2 B,Cut and Leave,No,,"18” BO, 0.7 span between P4D-4E, 35’ SE of lines, has previously cut forked stem on backside of tree with multiple locations of heart rot at base and spot of cut",AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut all wood into 16 inch firewood rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698514,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,efagaj_awrr,12/20/2019 19:19:15,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,e3d2fac4-0a5d-4703-9b96-8bc1beb3a27d
-1,PI,VP_AW115-K04_1134648_2019,BRUNSWICK 1105,No,CIP_AW115-K04_389012,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,28,47,,5,3,F3B_FP-Rmv3 B,Cut and Leave,No,None Observed,"Tree outside of span from endpole, 50ft Southwest of lines.  Strike potential for guy wire.2x tree with rot between and one stem with wound and rot present //edited by mdiazm. Switched to a work identified because it was marked as Non-Work with a removal prescription. ",AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,"Cut wood to 16in rounds, remove all slash",bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698513,14128 HYDRAULIC RIDGE CLOSE,NEVADA CITY,sfulfj_awrr,12/20/2019 21:09:41,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818340,37431b18-e877-4d24-beee-6863b8e502d4
-1,PI,VP_AW115-K04_1135019_2019,BRUNSWICK 1105,No,CIP_AW115-K04_389012,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,35,64,,4,4,F3B_FP-Rmv3 B,Cut and Leave,No,,.8 span between pole 4E and end pole. 50 feet west of lines. Wound and decay in trunk. 2x stem. Some homeowners material near base of tree.,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut hardwood into firewood lengths and remove all slash debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698513,14128 HYDRAULIC RIDGE CLOSE,NEVADA CITY,psommj_awrr,12/20/2019 21:44:58,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818340,76114be2-3274-4bdb-a212-8a5fa051c37c
-1,PI,VP_AW115-K04_1135023_2019,BRUNSWICK 1105,No,CIP_AW115-K04_389012,In-Progress,,JEF_Jefferson Resources,Black Oak,No,No,25,82,,5,4,F3B_FP-Rmv3 B,Cut and Leave,No,,.8 span between pole 4E and end pole. 40 feet west of lines. Wound and decay. Leans towards lines. 2x stem,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut hardwood into firewood lengths and remove all slash debris,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698513,14128 HYDRAULIC RIDGE CLOSE,NEVADA CITY,psommj_awrr,12/20/2019 22:01:21,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818340,8519dc65-770f-4633-b99e-0d6532f06dc8
-1,PI,VP_AW115-K04_1140858_2019,BRUNSWICK 1105,No,CIP_AW115-K04_383106,In-Progress,,JEF_Jefferson Resources,Ponderosa Pine,No,No,20,61,,3,4,R2B_Rmv 2-B,Cut and Leave,No,,35 ft east southeast of pole 4A. Mechanical damage and significant lesion in butt log,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut all wood into 20” rounds. Chip and pile debris. ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698517,13929 HYDRAULIC RIDGE CLOSE,NEVADA CITY,cwongj_awrr,12/20/2019 17:35:46,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818344,60f91338-ff3a-41cf-be08-88d74b71e284
-1,PI,VP_AW115-K04_1140859_2019,BRUNSWICK 1105,No,CIP_AW115-K04_383106,In-Progress,,JEF_Jefferson Resources,Ponderosa Pine,No,No,11,55,,5,4,R1B_Rmv 1-B,Cut and Leave,No,,0.3 span pole 4A to pole 4B 25 ft east southeast of line. Girdled by choker,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut all wood into 20” rounds. Chip and pile debris. ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698517,13929 HYDRAULIC RIDGE CLOSE,NEVADA CITY,cwongj_awrr,12/20/2019 17:47:59,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818344,77fd64e6-8be4-49d8-8543-e0a88eaf9768
-1,PI,VP_AW115-K04_1140860_2019,BRUNSWICK 1105,No,CIP_AW115-K04_383106,In-Progress,,JEF_Jefferson Resources,Douglas Fir,No,No,9,52,,3,3,R1B_Rmv 1-B,Cut and Leave,No,,35 ft east of pole 4B probable path to facility,AEA_A & E Arborists Tree Care,,,,,,Unit,,,,,,Cut to 16in firewood lengths chip slash and pile in adjacent property chip pile,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,1051698516,14015 HYDRAULIC RIDGE CLOSE,NEVADA CITY,cwongj_awrr,12/20/2019 18:02:37,BE_geomartawrrprod,5/12/2020 0:33:32,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818343,19497a0e-8883-41ad-8a8f-925653f1c01d
-1,,VP_AW115-K04_1509460_2020,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,MGE_Mountain G Enterprises,Black Oak,No,No,28,80,Do Not ABATE,,,OV_Overhang,Haul offsite,,None Observed,"0.1 span between poles# 4D-4E, 20 feet East of lines/ A few branches overhanging line, please trim for overhang clearance/ If tree crews are able to cut a branch that has strain and abrasion on neiboring Douglas fir so branch doesn’t continue to cause harm to tree that would be great. ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,"Haul away all wood chips, brush and debris ",bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 17:11:53,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,66aa19ce-be3e-437c-911d-e52da961a264
-1,,VP_AW115-K04_1509461_2020,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,MGE_Mountain G Enterprises,Black Oak,No,No,51,85,Do Not ABATE,,,F4D_FS-R4B+Trt,Haul offsite,,None Observed,"0.3 span between poles# 4D-4E, 25, Feet East of lines/ Tree has a hole full of water In between the 4 trunks causing rot in the base of the tree/ 4X stem combined DBH/ CAUTION this tree has an old swing attached/ Large bar in tree canopy holding ropes and chains be careful/ Ropes and chains flagged with hazard flag ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,Cut all wood into 16 inch firewood rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 17:41:51,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,a51efbc9-2e1a-4474-9211-cc551a4d82de
-1,,VP_AW115-K04_1509462_2020,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,MGE_Mountain G Enterprises,Black Oak,No,No,32,78,Do Not ABATE,,,F3B_FP-Rmv3 B,Cut and Leave,,None Observed,"0.4 span between poles# 4D-4E, 20 feet East of lines/ One of the main stems is dead/ One main stem overhanging and leaning towards lines ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,Cut all wood into 16 inch firewood rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 18:17:46,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,bda03d28-7339-40bd-8a79-60bc02f5f369
-1,,VP_AW115-K04_1509463_2020,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,MGE_Mountain G Enterprises,Black Oak,No,No,49,80,Do Not ABATE,,,F4B_FP-Rmv4 B,Cut and Leave,,None Observed,"0.4 span between poles# 4D-4E, 25 feet East of lines/ Tree has some wounds on base, included bark and water in between leaders causing rot/ leaders are overhanging lines/ Recommend removal/ 3X stem tree combined DBH ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,Cut all wood into 16 inch firewood rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 18:30:45,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,4a34eca4-db9a-417b-b525-299df3eaf8e0
-1,,VP_AW115-K04_1509464_2020,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,MGE_Mountain G Enterprises,Blue Oak,No,No,31,75,Do Not ABATE,,,F3B_FP-Rmv3 B,Cut and Leave,,None Observed,"0.5 span between poles# 4D-4E, 30 feet East of lines/ Tree has a weak connection at base/Small cavity/ One leader has a broken top/ 2X stem combined DBH ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,Cut all oak under 20 DBH into 16 inch rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 18:40:25,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,cbb094eb-738f-46a0-bcca-040901974c28
-1,,VP_AW115-K04_1509465_2020,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,MGE_Mountain G Enterprises,Black Oak,No,No,17,75,ABATE,,,F2B_FP-Rmv2 B,Cut and Leave,,None Observed,".9 span between poles# 4D-4E, 25 feet East of line/ Tree has a moderate lean towards pole 4E and house drop/ Previously cut main leader beginning to rot. ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,Cut all wood into 16 inch firewood rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 18:52:17,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,93be0ddc-fa1e-4935-91bc-d881821ef5d9
-1,,VP_AW115-K04_1509466_2020,BRUNSWICK 1105,No,CIP_AW115-K04_383573,In-Progress,,MGE_Mountain G Enterprises,Black Oak,No,No,32,65,ABATE,,,F3B_FP-Rmv3 B,Cut and Leave,,None Observed,"0.1 span between poles# 4E-4F, 50 feet East of lines/ Tree has large cavity with exposed heartwood/ Rot in the base/ Lean towards facilities/ CAUTION this tree has house drop line attached to tree trunk so be careful cut tree above house drop attachment.  ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,Cut all wood  into 16 inch firewood rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 19:06:31,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,64691f9f-a6b7-4079-8b21-30da1f9d4ff6
-1,,VP_AW115-K04_1509467_2020,BRUNSWICK 1105,No,CIP_AW115-K04_389012,In-Progress,,MGE_Mountain G Enterprises,Black Oak,No,No,13,72,Do Not ABATE,,,R2D_Rmv2-B+Trt,Cut and Leave,,None Observed,"0.2 span between poles# 4E-4F, 35 feet East of lines/ Tree has poor taper and is tangled  into Douglas fir next to it/ Please be careful not to damage Douglas fir ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,Cut all wood into 16 inch firewood rounds/ Haul away all wood chips and debris ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 20:18:45,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,4895daad-bad2-4a50-aef8-2332169fe100
-1,,VP_AW115-K04_1509468_2020,BRUNSWICK 1105,No,CIP_AW115-K04_389012,In-Progress,,MGE_Mountain G Enterprises,Black Oak,No,No,28,72,Do Not ABATE,,,R3D_Rmv3-B+Trt,Cut and Leave,,None Observed,"0.2 span between poles# 4E-4F, 32 feet East of line/trim would 1/3 of canopy from main stem. That stem also has a moderate lean towards facility. ",AEA_A & E Arborists Tree Care,,,,,,Unit,No,Not Invoiced,,,,Cut wood into 16” rounds. Remove all debris. ,bchamn_awrr,5/12/2020 0:22:56,Sierra,SI_Sierra,,14081 HYDRAULIC RIDGE CLOSE,NEVADA CITY,ahansm_awrr,3/24/2020 20:30:23,BE_geomartawrrprod,5/12/2020 0:33:41,{00000000-0000-0000-0000-000000000000},LP_AW115-K04_818341,564f16da-07f1-4a44-aa06-710e37b764f2
